id,constructorId,name,fullName
matra-ms84,matra,MS84,Matra MS84
renault-rs18,renault,R.S.18,Renault R.S.18
osella-fa1e,osella,FA1E,Osella FA1E
cooper-t43,cooper,T43,Cooper T43
shadow-dn12,shadow,DN12,Shadow DN12
sauber-c29,sauber,C29,Sauber C29
tyrrell-007,tyrrell,7,Tyrrell 007
brabham-bt18,brabham,BT18,Brabham BT18
alfa-romeo-182b,alfa-romeo,182B,Alfa Romeo 182B
brm-p61,brm,P61,BRM P61
schroeder,schroeder,Schroeder,Schroeder
cooper-t71-73,cooper,T71/73,Cooper T71/73
token-rj02,token,RJ02,Token RJ02
benetton-b186,benetton,B186,Benetton B186
williams-fw07c,williams,FW07C,Williams FW07C
rae,rae,Rae,Rae
lesovsky,lesovsky,Lesovsky,Lesovsky
ligier-js25,ligier,JS25,Ligier JS25
penske-pc1,penske,PC1,Penske PC1
arrows-a1,arrows,A1,Arrows A1
march-821,march,821,March 821
maki-f101,maki,F101,Maki F101
balsa-special,balsa,Spécial,Balsa Spécial
arrows-a6,arrows,A6,Arrows A6
lotus-72e,lotus,72E,Lotus 72E
haas-vf-23,haas,VF-23,Haas VF-23
ferrari-412t1,ferrari,412T1,Ferrari 412T1
ferrari-500,ferrari,500,Ferrari 500
honda-ra301,honda,RA301,Honda RA301
jaguar-r3b,jaguar,R3B,Jaguar R3B
alphatauri-at01,alphatauri,AT01,AlphaTauri AT01
williams-fw07b,williams,FW07B,Williams FW07B
ags-jh23b,ags,JH23B,AGS JH23B
osca-f2,osca,F2,OSCA F2
ligier-js41,ligier,JS41,Ligier JS41
brabham-bt26,brabham,BT26,Brabham BT26
enb-f1,enb,F1,ENB F1
super-aguri-sa06,super-aguri,SA06,Super Aguri SA06
ats-wheels-hgs1,ats-wheels,HGS1,ATS HGS1
williams-fw07d,williams,FW07D,Williams FW07D
prost-ap02,prost,AP02,Prost AP02
mclaren-m29,mclaren,M29,McLaren M29
cooper-t60,cooper,T60,Cooper T60
ats-wheels-d5,ats-wheels,D5,ATS D5
aston-martin-amr24,aston-martin,AMR24,Aston Martin AMR24
honda-ra302,honda,RA302,Honda RA302
kurtis-kraft-kk500f,kurtis-kraft,KK500F,Kurtis Kraft KK500F
jordan-199,jordan,199,Jordan 199
ferrari-f2001,ferrari,F2001,Ferrari F2001
minardi-ps01b,minardi,PS01B,Minardi PS01B
toleman-tg183b,toleman,TG183B,Toleman TG183B
renault-re30,renault,RE30,Renault RE30
benetton-b200,benetton,B200,Benetton B200
ferrari-sf90,ferrari,SF90,Ferrari SF90
cooper-t41,cooper,T41,Cooper T41
osella-fa1m,osella,FA1M,Osella FA1M
mclaren-mp4-19b,mclaren,MP4-19B,McLaren MP4-19B
