id,constructorId,name,fullName
haas-vf-22,haas,VF-22,Haas VF-22
sauber-c13,sauber,C13,Sauber C13
jordan-ej15,jordan,EJ15,Jordan EJ15
lotus-48,lotus,48,Lotus 48
tecno-pa123-6,tecno,PA123/6,Tecno PA123/6
tyrrell-001,tyrrell,1,Tyrrell 001
tyrrell-008,tyrrell,008,Tyrrell 008
ligier-js39b,ligier,JS39B,Ligier JS39B
kurtis-kraft-kk500g,kurtis-kraft,KK500G,Kurtis Kraft KK500G
stebro-mk-iv,stebro,Mk IV,Stebro Mk IV
simtek-s951,simtek,S951,Simtek S951
ferrari-sf1000,ferrari,SF1000,Ferrari SF1000
dallara-f189,dallara,F189,Dallara F189
forti-fg01b,forti,FG01B,Forti FG01B
connew-pc1,connew,PC1,Connew PC1
brabham-bt54,brabham,BT54,Brabham BT54
renault-rs19,renault,R.S.19,Renault R.S.19
life-l190,life,L190,Life L190
ferrari-sf15-t,ferrari,SF15-T,Ferrari SF15-T
shadow-dn5b,shadow,DN5B,Shadow DN5B
renault-r24b,renault,R24B,Renault R24B
hesketh-308c,hesketh,308C,Hesketh 308C
lotus-72b,lotus,72B,Lotus 72B
brabham-bt23c,brabham,BT23C,Brabham BT23C
benetton-b190,benetton,B190,Benetton B190
lola-mk-4,lola,Mk 4,Lola Mk 4
lotus-76,lotus,76,Lotus 76
tyrrell-p34,tyrrell,P34,Tyrrell P34
renault-r24,renault,R24,Renault R24
ferrari-f300,ferrari,F300,Ferrari F300
mclaren-mp4-4,mclaren,MP4/4,McLaren MP4/4
red-bull-rb2,red-bull,RB2,Red Bull RB2
tyrrell-dg016,tyrrell,DG016,Tyrrell DG016
kurtis-kraft-kk500a,kurtis-kraft,KK500A,Kurtis Kraft KK500A
brabham-bt20,brabham,BT20,Brabham BT20
benetton-b193b,benetton,B193B,Benetton B193B
amon-af101,amon,AF101,Amon AF101
cooper-t58,cooper,T58,Cooper T58
lotus-102d,lotus,102D,Lotus 102D
trevis-indycar,trevis,Indycar,Trevis Indycar
minardi-m188,minardi,M188,Minardi M188
tyrrell-011b,tyrrell,011B,Tyrrell 011B
osca-20,osca,20,OSCA 20
porsche-804,porsche,804,Porsche 804
rb-vcarb-01,rb,VCARB 01,RB VCARB 01
connaught-b,connaught,B,Connaught B
ensign-n176,ensign,N176,Ensign N176
simtek-s941,simtek,S941,Simtek S941
ram-02,ram,2,RAM 02
frank-williams-racing-cars-fw,frank-williams-racing-cars,FW,Williams FW
williams-fw16b,williams,FW16B,Williams FW16B
brabham-bt11,brabham,BT11,Brabham BT11
penske-pc4,penske,PC4,Penske PC4
fittipaldi-fd02,fittipaldi,FD02,Fittipaldi FD02
eurobrun-er188b,eurobrun,ER188B,EuroBrun ER188B
jordan-ej11,jordan,EJ11,Jordan EJ11
brabham-bt16,brabham,BT16,Brabham BT16
ags-jh25,ags,JH25,AGS JH25
kurtis-kraft-4,kurtis-kraft,4,Kurtis Kraft 4
toro-rosso-str12,toro-rosso,STR12,Toro Rosso STR12
bar-01,bar,1,BAR 01
arrows-fa1,arrows,FA1,Arrows FA1
tyrrell-014,tyrrell,12,Tyrrell 014
lola-t93-30,lola,T93/30,Lola T93/30
mclaren-m26,mclaren,M26,McLaren M26
honda-ra273,honda,RA273,Honda RA273
jordan-ej14,jordan,EJ14,Jordan EJ14
dallara-f191,dallara,F191,Dallara F191
ligier-js31,ligier,JS31,Ligier JS31
sauber-c24,sauber,C24,Sauber C24
minardi-ps04,minardi,PS04,Minardi PS04
lotus-109,lotus,109,Lotus 109
cooper-t40,cooper,T40,Cooper T40
sauber-c21,sauber,C21,Sauber C21
alfa-romeo-c38,alfa-romeo,C38,Alfa Romeo C38
ligier-js7,ligier,JS7,Ligier JS7
toleman-tg181b,toleman,TG181B,Toleman TG181B
mcguire-bm1,mcguire,BM1,McGuire BM1
mclaren-mcl60,mclaren,MCL60,McLaren MCL60
lola-thl1,lola,THL1,Lola THL1
cooper-t45,cooper,T45,Cooper T45
force-india-vjm03,force-india,VJM03,Force India VJM03
march-701,march,701,March 701
jordan-ej15b,jordan,EJ15B,Jordan EJ15B
renault-re60b,renault,RE60B,Renault RE60B
force-india-vjm11,force-india,VJM11,Force India VJM11
lotus-49c,lotus,49C,Lotus 49C
fittipaldi-fd04,fittipaldi,FD04,Fittipaldi FD04
mclaren-mp4-31,mclaren,MP4-31,McLaren MP4-31
ligier-js19,ligier,JS19,Ligier JS19
ferrari-f14-t,ferrari,F14 T,Ferrari F14 T
lotus-24,lotus,24,Lotus 24
lotus-f1-e20,lotus-f1,E20,Lotus E20
