id,name,fullName,countryId
connaught,Connaught,Connaught Engineering,united-kingdom
schroeder,Schroeder,Schroeder,united-states-of-america
shadow,Shadow,Shadow Racing Cars,united-kingdom
gordini,Gordini,Gordini,france
rae,Rae,Rae,united-states-of-america
lesovsky,Lesovsky,Lesovsky,united-states-of-america
racing-bulls,Racing Bulls,Racing Bulls,italy
racing-point,Racing Point,Racing Point F1 Team,united-kingdom
alphatauri,AlphaTauri,Scuderia AlphaTauri,italy
simtek,Simtek,Simtek,united-kingdom
token,Token,Token Racing,united-kingdom
mclaren,McLaren,McLaren Racing,united-kingdom
brabham,Brabham,Motor Racing Developments,united-kingdom
dallara,Dallara,Dallara Automobili,italy
super-aguri,Super Aguri,Super Aguri F1 Team,japan
jordan,Jordan,Jordan Grand Prix,ireland
elder,Elder,Elder,united-states-of-america
klenk,Klenk,Klenk,germany
red-bull,Red Bull,Red Bull Racing,austria
era,ERA,English Racing Automobiles,united-kingdom
ewing,Ewing,Ewing,united-states-of-america
andrea-moda,Andrea Moda,Andrea Moda Formula,italy
stebro,Stebro,Stebro,canada
march,March,March Engineering,united-kingdom
nacke,Nacke,Nacke,germany
virgin,Virgin,Virgin Racing,united-kingdom
christensen,Christensen,Christensen,united-states-of-america
cisitalia,Cisitalia,Cisitalia,italy
trevis,Trevis,Trevis,united-states-of-america
arrows,Arrows,Arrows Grand Prix International,united-kingdom
sauber,Sauber,Sauber F1 Team,switzerland
fittipaldi,Fittipaldi,Fittipaldi Automotive,brazil
nichels,Nichels,Nichels,united-states-of-america
meskowski,Meskowski,Meskowski,united-states-of-america
bromme,Bromme,Bromme,united-states-of-america
osca,O.S.C.A.,Officine Specializzate Costruzione Automobili,italy
frank-williams-racing-cars,Frank Williams Racing Cars,Frank Williams Racing Cars,united-kingdom
