id,name,fullName,countryId
pacific,Pacific,Pacific Racing,united-kingdom
fondmetal,Fondmetal,Fondmetal,italy
tecno,Tecno,Tecno Racing Team,italy
amon,Amon,Chris Amon Racing,new-zealand
stevens,Stevens,Stevens,united-states-of-america
surtees,Surtees,Surtees Racing Organisation,united-kingdom
alfa-special,Alfa Special,Alfa Special,south-africa
parnelli,Parnelli,Vel's Parnelli Jones Racing,united-states-of-america
hall,Hall,Hall,united-states-of-america
tec-mec,Tec-Mec,Studio Tecnica Meccanica,united-states-of-america
gilby,Gilby,Gilby Engineering,united-kingdom
moore,Moore,Moore,united-states-of-america
bmw,BMW,BMW,germany
trojan,Trojan,Trojan-Tauranac Racing,united-kingdom
sutton,Sutton,Sutton,united-states-of-america
jaguar,Jaguar,Jaguar Racing F1 Team,united-kingdom
lotus-f1,Lotus,Lotus F1 Team,united-kingdom
ats,ATS,Automobili Turismo e Sport,italy
eagle,Eagle,All American Racers,united-states-of-america
aston-butterworth,Aston Butterworth,Aston Butterworth,united-kingdom
onyx,Onyx,Onyx Grand Prix,united-kingdom
ensign,Ensign,Ensign Racing,united-kingdom
scarab,Scarab,Scarab,united-states-of-america
tyrrell,Tyrrell,Tyrrell Racing,united-kingdom
frazer-nash,Frazer-Nash,Frazer-Nash,united-kingdom
hrt,HRT,Hispania Racing Team,spain
brm,BRM,British Racing Motors,united-kingdom
toyota,Toyota,Toyota Racing,japan
afm,AFM,Alex von Falkenhausen Motorenbau,germany
forti,Forti,Forti Corse,italy
marchese,Marchese,Marchese,united-states-of-america
first,FIRST,FIRST Racing,italy
caterham,Caterham,Caterham F1 Team,malaysia
hesketh,Hesketh,Hesketh Racing,united-kingdom
bugatti,Bugatti,Bugatti,france
eifelland,Eifelland,Team Eifelland Caravans,germany
