id,name,fullName,countryId
snowberger,Snowberger,Snowberger,united-states-of-america
minardi,Minardi,Minardi F1 Team,italy
shannon,Shannon,Shannon Racing Cars,united-kingdom
honda,Honda,Honda Racing F1 Team,japan
sherman,Sherman,Sherman,united-states-of-america
ags,AGS,Automobiles Gonfaronnaises Sportives,france
langley,Langley,Langley,united-states-of-america
kojima,Kojima,Kojima Engineering,japan
hwm,HWM,Hersham and Walton Motors,united-kingdom
toleman,Toleman,Toleman Motorsport,united-kingdom
deidt,Deidt,Deidt,united-states-of-america
leyton-house,Leyton House,Leyton House Racing,united-kingdom
rial,Rial,Rial Racing,germany
veritas,Veritas,Veritas,germany
larrousse,Larrousse,Larrousse F1,france
maserati,Maserati,Maserati,italy
cooper,Cooper,Cooper Car Company,united-kingdom
emw,EMW,Eisenacher Motorenwerk,germany
haas,Haas,Haas F1 Team,united-states-of-america
dunn,Dunn,Dunn,united-states-of-america
wolf-williams,Wolf-Williams,Wolf-Williams Racing,united-kingdom
ferguson,Ferguson,Harry Ferguson Research,united-kingdom
renault,Renault,Renault Sport Formula One Team,france
fry,Fry,Fry Racing Team,united-kingdom
lancia,Lancia,Lancia,italy
hill,Hill,Embassy Racing With Graham Hill,united-kingdom
arzani-volpini,Arzani-Volpini,Scuderia Arzani-Volpini,italy
behra-porsche,Behra-Porsche,Behra-Porsche,germany
pawl,Pawl,Pawl,united-states-of-america
wetteroth,Wetteroth,Wetteroth,united-states-of-america
krakau,Krakau,Krakau,germany
benetton,Benetton,Benetton Formula,italy
rebaque,Rebaque,Team Rebaque,mexico
enb,ENB,Ecurie National Belge,belgium
ram,RAM,RAM Racing,united-kingdom
simca-gordini,Simca-Gordini,Simca-Gordini,france
