id,alpha2Code,alpha3Code,name,demonym,continentId
kyrgyzstan,KG,KGZ,Kyrgyzstan,Kyrgyzstani,asia
united-states-virgin-islands,VI,VIR,United States Virgin Islands,Virgin Islander,north-america
iceland,IS,ISL,Iceland,Icelander,europe
tanzania,TZ,TZA,Tanzania,Tanzanian,africa
mexico,MX,MEX,Mexico,Mexican,north-america
falkland-islands,FK,FLK,Falkland Islands,Falkland Islander,south-america
tonga,TO,TON,Tonga,Tongan,australia
norfolk-island,NF,NFK,Norfolk Island,Norfolk Islander,australia
czech-republic,CZ,CZE,Czech Republic,Czech,europe
albania,AL,ALB,Albania,Albanian,europe
martinique,MQ,MTQ,Martinique,Martinican,north-america
svalbard-and-jan-mayen,SJ,SJM,Svalbard and Jan Mayen,,europe
peru,PE,PER,Peru,Peruvian,south-america
poland,PL,POL,Poland,Polish,europe
cambodia,KH,KHM,Cambodia,Cambodian,asia
cocos-keeling-islands,CC,CCK,Cocos (Keeling) Islands,Cocossian,asia
republic-of-the-congo,CG,COG,Republic of the Congo,Congolese,africa
san-marino,SM,SMR,San Marino,Sammarinese,europe
tokelau,TK,TKL,Tokelau,Tokelauan,australia
bhutan,BT,BTN,Bhutan,Bhutanese,asia
central-african-republic,CF,CAF,Central African Republic,Central African,africa
cameroon,CM,CMR,Cameroon,Cameroonian,africa
bolivia,BO,BOL,Bolivia,Bolivian,south-america
netherlands,NL,NLD,Netherlands,Dutch,europe
antarctica,AQ,ATA,Antarctica,Antarctican,antarctica
canada,CA,CAN,Canada,Canadian,north-america
switzerland,CH,CHE,Switzerland,Swiss,europe
austria,AT,AUT,Austria,Austrian,europe
nauru,NR,NRU,Nauru,Nauruan,australia
marshall-islands,MH,MHL,Marshall Islands,Marshallese,australia
italy,IT,ITA,Italy,Italian,europe
madagascar,MG,MDG,Madagascar,Malagasy,africa
greece,GR,GRC,Greece,Greek,europe
ukraine,UA,UKR,Ukraine,Ukrainian,europe
sint-maarten,SX,SXM,Sint Maarten,Sint Maartener,north-america
saint-pierre-and-miquelon,PM,SPM,Saint Pierre and Miquelon,Saint-Pierrais/Miquelonnais,north-america
dominica,DM,DMA,Dominica,Dominican,north-america
uzbekistan,UZ,UZB,Uzbekistan,Uzbekistani,asia
tuvalu,TV,TUV,Tuvalu,Tuvaluan,australia
slovakia,SK,SVK,Slovakia,Slovakian,europe
honduras,HN,HND,Honduras,Honduran,north-america
united-kingdom,GB,GBR,United Kingdom,British,europe
united-states-minor-outlying-islands,UM,UMI,United States Minor Outlying Islands,,australia
laos,LA,LAO,Laos,Laotian,asia
senegal,SN,SEN,Senegal,Senegalese,africa
myanmar,MM,MMR,Myanmar,Burmese,asia
american-samoa,AS,ASM,American Samoa,Samoan,australia
democratic-republic-of-the-congo,CD,COD,Democratic Republic of the Congo,Congolese,africa
latvia,LV,LVA,Latvia,Latvian,europe
