id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
roberto-guerrero,Roberto Guerrero,Roberto,Guerrero,Roberto José Guerrero Isaza,GUE,,MALE,1958-11-16,,Medellín,colombia,colombia,
silvio-moser,Silvio Moser,Silvio,Moser,Silvio Moser,MOS,,MALE,1941-04-24,1974-05-26,Zürich,switzerland,switzerland,
willy-mairesse,Willy Mairesse,Willy,Mairesse,Willy Mairesse,MAI,,MALE,1928-10-01,1969-09-02,Momignies,belgium,belgium,
michel-leclere,Michel Leclère,Michel,Leclère,Michel Leclère,LEC,,MALE,1946-03-18,,Mantes-la-Jolie,france,france,
howden-ganley,Howden Ganley,Howden,Ganley,James Howden Ganley,GAN,,MALE,1941-12-24,,Hamilton,new-zealand,new-zealand,
mark-donohue,Mark Donohue,Mark,Donohue,Mark Neary Donohue Jr.,DON,,MALE,1937-03-18,1975-08-19,Haddon Township,united-states-of-america,united-states-of-america,
denny-hulme,Denny Hulme,Denny,Hulme,Denis Clive Hulme,HUL,,MALE,1936-06-18,1992-10-04,Motueka,new-zealand,new-zealand,
nikita-mazepin,Nikita Mazepin,Nikita,Mazepin,Nikita Dmitryevich Mazepin,MAZ,9,MALE,1999-03-02,,Moscow,russia,russia,
alexander-wurz,Alexander Wurz,Alexander,Wurz,Alexander Wurz,WUR,,MALE,1974-02-15,,Waidhofen an der Thaya,austria,austria,
duke-nalon,Duke Nalon,Dennis,Nalon,Dennis Nalon,NAL,,MALE,1913-03-02,2001-02-26,Chicago,united-states-of-america,united-states-of-america,
stefano-modena,Stefano Modena,Stefano,Modena,Stefano Modena,MOD,,MALE,1963-05-12,,Modena,italy,italy,
alejandro-de-tomaso,Alejandro de Tomaso,Alejandro,De Tomaso,Alejandro de Tomaso,DET,,MALE,1928-07-10,2003-05-21,Buenos Aires,argentina,argentina,
renzo-zorzi,Renzo Zorzi,Renzo,Zorzi,Renzo Zorzi,ZOR,,MALE,1946-12-12,2015-05-15,Ziano di Fiemme,italy,italy,
pierre-henri-raphanel,Pierre-Henri Raphanel,Pierre-Henri,Raphanel,Pierre-Henri Raphanel,RAP,,MALE,1961-05-27,,Algiers,algeria,france,
ed-elisian,Ed Elisian,Ed,Elisian,Ed Elisian,ELI,,MALE,1926-12-09,1959-08-30,Oakland,united-states-of-america,united-states-of-america,
alberto-ascari,Alberto Ascari,Alberto,Ascari,Alberto Ascari,ASC,,MALE,1918-07-13,1955-05-26,Milan,italy,italy,
ralf-schumacher,Ralf Schumacher,Ralf,Schumacher,Ralf Schumacher,RSC,,MALE,1975-06-30,,Hürth,germany,germany,
eddie-sachs,Eddie Sachs,Eddie,Sachs,"Edward Julius Sachs, Jr.",SAC,,MALE,1927-05-28,1964-05-30,Allentown,united-states-of-america,united-states-of-america,
damien-magee,Damien Magee,Damien,Magee,Damien Magee,MAG,,MALE,1945-11-17,,Belfast,united-kingdom,united-kingdom,
tony-brooks,Tony Brooks,Tony,Brooks,Charles Anthony Standish Brooks,BRO,,MALE,1932-02-25,2022-05-03,Dukinfield,united-kingdom,united-kingdom,
