abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
DOC,united-states-of-america,1920-10-08,2010-07-07,Frank,Frank J. Dochnal,MALE,frank-dochnal,Dochnal,Frank Dochnal,united-states-of-america,,St. Louis,
VUK,united-states-of-america,1918-12-13,1955-05-30,Bill,William John Vukovich,MALE,bill-vukovich,Vukovich,Bill Vukovich,united-states-of-america,,Oakland,
DED,belgium,1952-09-19,,Bernard,Bernard de Dryver,MALE,bernard-de-dryver,De Dryver,Bernard de Dryver,belgium,,Brussels,
KAR,india,1977-01-14,,Narain,Kumar Ram Narain Karthikeyan,MALE,narain-karthikeyan,Karthikeyan,Narain Karthikeyan,india,,Coimbatore,
FOR,united-states-of-america,1916-06-15,1983-08-21,Gene,Gene Force,MALE,gene-force,Force,Gene Force,united-states-of-america,,New Madison,
ADO,germany,1921-11-05,2012-01-24,Kurt,Kurt Adolff,MALE,kurt-adolff,Adolff,Kurt Adolff,germany,,Stuttgart,
BOU,france,1969-12-27,,Jean-Christophe,Jean-Christophe Boullion,MALE,jean-christophe-boullion,Boullion,Jean-Christophe Boullion,france,,Saint-Brieuc,
DAY,united-states-of-america,1924-08-28,1966-04-04,Jimmy,Jimmy Daywalt,MALE,jimmy-daywalt,Daywalt,Jimmy Daywalt,united-states-of-america,,Wabash,
VIL,canada,1953-11-04,,Jacques,Jacques-Joseph Villeneuve,MALE,jacques-villeneuve-sr,"Villeneuve, Sr.","Jacques Villeneuve, Sr.",canada,,Berthierville,
GLO,germany,1909-01-13,1993-12-18,Helm,Helm Glöckler,MALE,helm-glockler,Glöckler,Helm Glöckler,germany,,Frankfurt am Main,
SHW,israel,1999-09-16,,Robert,Robert Mikhailovich Shwartzman,MALE,robert-shwartzman,Shwartzman,Robert Shwartzman,russia,,Tel Aviv,israel
TAR,italy,1932-05-05,2004-02-15,Luigi,Luigi Taramazzo,MALE,luigi-taramazzo,Taramazzo,Luigi Taramazzo,italy,,Ceva,
TAM,france,1949-06-25,2022-12-04,Patrick,Patrick Daniel Tambay,MALE,patrick-tambay,Tambay,Patrick Tambay,france,,Paris,
FON,united-states-of-america,1917-06-22,1958-06-14,George,George Fonder,MALE,george-fonder,Fonder,George Fonder,united-states-of-america,,Elmhurst,
JAB,france,1942-10-01,2023-02-02,Jean-Pierre,Jean-Pierre Alain Jabouille,MALE,jean-pierre-jabouille,Jabouille,Jean-Pierre Jabouille,france,,Paris,
JOH,south-africa,1937-01-30,2022-03-03,Bruce,William Bruce Gordon Johnstone,MALE,bruce-johnstone,Johnstone,Bruce Johnstone,south-africa,,Durban,
WAR,united-states-of-america,1921-01-10,2004-07-05,Rodger,Rodger M. Ward,MALE,rodger-ward,Ward,Rodger Ward,united-states-of-america,,Beloit,
AHR,germany,1940-04-19,,Kurt,Kurt Karl-Heinrich Ahrens,MALE,kurt-ahrens-jr,"Ahrens, Jr.","Kurt Ahrens, Jr.",germany,,Braunschweig,
BAL,france,1909-01-01,1984-08-11,Marcel,Marcel Lucien Balsa,MALE,marcel-balsa,Balsa,Marcel Balsa,france,,Creuse,
BOU,france,1979-02-28,,Sébastien,Sébastien Olivier Bourdais,MALE,sebastien-bourdais,Bourdais,Sébastien Bourdais,france,,Le Mans,
DEL,switzerland,1963-10-01,,Jean-Denis,Jean-Denis Délétraz,MALE,jean-denis-deletraz,Délétraz,Jean-Denis Délétraz,switzerland,,Geneva,
HAT,japan,1966-06-13,,Naoki,Naoki Hattori,MALE,naoki-hattori,Hattori,Naoki Hattori,japan,,Yokkaichi,
WIN,germany,1960-10-24,,Joachim,Joachim Winkelhock,MALE,joachim-winkelhock,Winkelhock,Joachim Winkelhock,germany,,Waiblingen,
NAN,italy,1959-07-07,,Alessandro,Alessandro Nannini,MALE,alessandro-nannini,Nannini,Alessandro Nannini,italy,,Siena,
SER,south-africa,1920-12-09,2006-06-04,Doug,Louis Douglas Serrurier,MALE,doug-serrurier,Serrurier,Doug Serrurier,south-africa,,Germiston,
REG,switzerland,1939-09-05,2006-12-15,Clay,Gianclaudio Giuseppe Regazzoni,MALE,clay-regazzoni,Regazzoni,Clay Regazzoni,switzerland,,Mendrisio,
PIR,italy,1933-03-26,2002-07-29,Renato,Renato Pirocchi,MALE,renato-pirocchi,Pirocchi,Renato Pirocchi,italy,,Notaresco,
PIC,france,1990-02-15,,Charles,Charles Pic,MALE,charles-pic,Pic,Charles Pic,france,,Montélimar,
STE,united-kingdom,1939-06-11,,Jackie,Sir John Young Stewart,MALE,jackie-stewart,Stewart,Jackie Stewart,united-kingdom,,Milton,
BRA,switzerland,1916-09-15,1985-05-10,Toni,Antonio Branca,MALE,toni-branca,Branca,Toni Branca,switzerland,,Sion,
BER,brazil,1978-10-19,,Enrique,Enrique Antônio Langue e Silvério de Bernoldi,MALE,enrique-bernoldi,Bernoldi,Enrique Bernoldi,brazil,,Curitiba,
IWA,japan,2001-09-22,,Ayumu,Ayumu Iwasa,MALE,ayumu-iwasa,Iwasa,Ayumu Iwasa,japan,,Moriguchi,
RAH,united-states-of-america,1953-01-10,,Bobby,Robert Woodward Rahal,MALE,bobby-rahal,Rahal,Bobby Rahal,united-states-of-america,,Medina,
LAU,belgium,1913-02-21,1997-02-06,Roger,Roger Laurent,MALE,roger-laurent,Laurent,Roger Laurent,belgium,,Liège,
VIL,italy,1909-05-16,1997-08-24,Luigi,Luigi Villoresi,MALE,luigi-villoresi,Villoresi,Luigi Villoresi,italy,,Milan,
SHA,ireland,1915-01-28,1999-05-01,Brian,Brian Newton Shawe-Taylor,MALE,brian-shawe-taylor,Shawe-Taylor,Brian Shawe-Taylor,united-kingdom,,Dublin,
CRA,united-kingdom,1948-02-13,2002-08-06,Jim,Jim Crawford,MALE,jim-crawford,Crawford,Jim Crawford,united-kingdom,,Dunfermline,
WUN,netherlands,1948-12-12,,Roelof,Roelof Wunderink,MALE,roelof-wunderink,Wunderink,Roelof Wunderink,netherlands,,Eindhoven,
GET,united-kingdom,1940-02-21,2011-12-05,Peter,Peter Kenneth Gethin,MALE,peter-gethin,Gethin,Peter Gethin,united-kingdom,,Ewell,
SCO,italy,1909-11-11,1976-02-14,Piero,Piero Scotti,MALE,piero-scotti,Scotti,Piero Scotti,italy,,Florence,
DEV,spain,1946-07-26,,Emilio,Emilio de Villota Ruíz,MALE,emilio-de-villota,De Villota,Emilio de Villota,spain,,Madrid,
BRY,united-states-of-america,1926-01-28,1960-06-19,Jimmy,James Ernest Bryan,MALE,jimmy-bryan,Bryan,Jimmy Bryan,united-states-of-america,,Phoenix,
NAZ,united-states-of-america,1921-10-02,1955-05-01,Mike,Mike Nazaruk,MALE,mike-nazaruk,Nazaruk,Mike Nazaruk,united-states-of-america,,Newark,
DEA,italy,1941-10-03,,Andrea,Andrea Lodovico de Adamich,MALE,andrea-de-adamich,De Adamich,Andrea de Adamich,italy,,Trieste,
MAC,brazil,1927-06-23,1957-07-14,Herbert,Herbert MacKay-Fraser,MALE,herbert-mackay-fraser,MacKay-Fraser,Herbert MacKay-Fraser,united-states-of-america,,Recife,
GUE,argentina,1953-08-31,,Miguel Ángel,Miguel Ángel Guerra,MALE,miguel-angel-guerra,Guerra,Miguel Ángel Guerra,argentina,,Buenos Aires,
CHI,united-kingdom,1991-04-21,,Max,Maximilian Alexander Chilton,MALE,max-chilton,Chilton,Max Chilton,united-kingdom,,Redhill,
PET,russia,1984-09-08,,Vitaly,Vitaly Aleksandrovich Petrov,MALE,vitaly-petrov,Petrov,Vitaly Petrov,russia,,Vyborg,
SIM,france,1920-01-05,2012-07-11,André,André Simon,MALE,andre-simon,Simon,André Simon,france,,Paris,
JOH,united-states-of-america,1919-02-10,1974-06-30,Eddie,Eddie Johnson,MALE,eddie-johnson,Johnson,Eddie Johnson,united-states-of-america,,Richmond,
DRU,brazil,2000-05-23,,Felipe,Felipe Drugovich Roncato,MALE,felipe-drugovich,Drugovich,Felipe Drugovich,brazil,,Maringá,
FRE,united-states-of-america,1925-03-25,2007-11-02,Don,Don Freeland,MALE,don-freeland,Freeland,Don Freeland,united-states-of-america,,Los Angeles,
BON,sweden,1930-01-31,1972-06-11,Jo,Joakim Bonnier,MALE,jo-bonnier,Bonnier,Jo Bonnier,sweden,,Stockholm,
PRI,italy,1923-04-15,1981-11-26,Ernesto,Ernesto Prinoth,MALE,ernesto-prinoth,Prinoth,Ernesto Prinoth,italy,,Urtijëi,
STU,germany,1951-01-01,,Hans-Joachim,Hans-Joachim Stuck,MALE,hans-joachim-stuck,Stuck,Hans-Joachim Stuck,germany,,Garmisch-Partenkirchen,
NIS,israel,1994-11-30,,Roy,Roy Nissany,MALE,roy-nissany,Nissany,Roy Nissany,israel,,Tel Aviv,
MOS,united-kingdom,1929-09-17,2020-04-12,Stirling,Sir Stirling Moss,MALE,stirling-moss,Moss,Stirling Moss,united-kingdom,,West Kensington,
CHE,united-states-of-america,1958-01-10,,Eddie,Edward McKay Cheever Jr.,MALE,eddie-cheever,Cheever,Eddie Cheever,united-states-of-america,,Phoenix,
SEN,brazil,1960-03-21,1994-05-01,Ayrton,Ayrton Senna da Silva,MALE,ayrton-senna,Senna,Ayrton Senna,brazil,,São Paulo,
GRI,united-states-of-america,1916-02-06,1996-01-23,Cliff,Cliff Griffith,MALE,cliff-griffith,Griffith,Cliff Griffith,united-states-of-america,,Nineveh,
