id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
helmuth-koinigg,Helmuth Koinigg,Helmuth,Koinigg,Helmuth Koinigg,KOI,,MALE,1948-11-03,1974-10-06,Vienna,austria,austria,
alexander-rossi,Alexander Rossi,Alexander,Rossi,Alexander Michael Rossi,RSI,53,MALE,1991-09-25,,Nevada City,united-states-of-america,united-states-of-america,
andre-guelfi,André Guelfi,André,Guelfi,André Guelfi,GUE,,MALE,1919-05-06,2016-06-28,Mazagan,morocco,france,
rob-schroeder,Rob Schroeder,Rob,Schroeder,Robert Schroeder,SCH,,MALE,1926-05-11,2011-12-03,El Dorado,united-states-of-america,united-states-of-america,
wilson-fittipaldi,Wilson Fittipaldi,Wilson,Fittipaldi,Wilson Fittipaldi Júnior,FIT,,MALE,1943-12-25,2024-02-23,São Paulo,brazil,brazil,
giorgio-mondini,Giorgio Mondini,Giorgio,Mondini,Giorgio Mondini,MOD,,MALE,1980-07-19,,Geneva,switzerland,switzerland,
peter-revson,Peter Revson,Peter,Revson,Peter Jeffrey Revson,REV,,MALE,1939-02-27,1974-03-22,New York,united-states-of-america,united-states-of-america,
markus-winkelhock,Markus Winkelhock,Markus,Winkelhock,Markus Winkelhock,WIN,,MALE,1980-06-13,,Stuttgart,germany,germany,
juan-pablo-montoya,Juan Pablo Montoya,Juan Pablo,Montoya,Juan Pablo Montoya Roldán,MOY,,MALE,1975-09-20,,Bogotá,colombia,colombia,
jordan-king,Jordan King,Jordan,King,Jordan King,KIN,,MALE,1994-02-26,,Harbury,united-kingdom,united-kingdom,
giancarlo-fisichella,Giancarlo Fisichella,Giancarlo,Fisichella,Giancarlo Fisichella,FIS,,MALE,1973-01-14,,Rome,italy,italy,
andre-milhoux,André Milhoux,André,Milhoux,André Milhoux,MIL,,MALE,1928-12-09,,Liège,belgium,belgium,
ken-kavanagh,Ken Kavanagh,Ken,Kavanagh,Thomas Kenrick Kavanagh,KAV,,MALE,1923-12-12,2019-11-26,Melbourne,australia,australia,
fritz-riess,Fritz Riess,Fritz,Riess,Fritz Riess,RIE,,MALE,1922-07-11,1991-05-15,Nuremberg,germany,germany,
mark-webber,Mark Webber,Mark,Webber,Mark Alan Webber,WEB,,MALE,1976-08-27,,Queanbeyan,australia,australia,
juan-manuel-fangio,Juan Manuel Fangio,Juan Manuel,Fangio,Juan Manuel Fangio Déramo,FAN,,MALE,1911-06-24,1995-07-17,Balcarce,argentina,argentina,
ukyo-katayama,Ukyo Katayama,Ukyo,Katayama,Ukyo Katayama,KAT,,MALE,1963-05-29,,Tokyo,japan,japan,
ken-richardson,Ken Richardson,Ken,Richardson,William Kenneth Richardson,RIC,,MALE,1911-08-21,1997-06-27,Bourne,united-kingdom,united-kingdom,
mike-magill,Mike Magill,Mike,Magill,Charles Michael Magill,MAG,,MALE,1920-02-08,2006-08-31,Haddonfield,united-states-of-america,united-states-of-america,
pascal-wehrlein,Pascal Wehrlein,Pascal,Wehrlein,Pascal Wehrlein,WEH,94,MALE,1994-10-18,,Sigmaringen,germany,germany,mauritania
bob-said,Bob Said,Bob,Said,Boris Said,SAI,,MALE,1932-05-05,2002-03-24,New York City,united-states-of-america,united-states-of-america,
desire-wilson,Desiré Wilson,Desiré,Wilson,Desiré Randall Wilson,WIL,,FEMALE,1953-11-26,,Brakpan,south-africa,south-africa,
felice-bonetto,Felice Bonetto,Felice,Bonetto,Felice Bonetto,BON,,MALE,1903-06-09,1953-11-21,Manerbio,italy,italy,
jolyon-palmer,Jolyon Palmer,Jolyon,Palmer,Jolyon Carlyle Palmer,PAL,30,MALE,1991-01-20,,Horsham,united-kingdom,united-kingdom,
nyck-de-vries,Nyck de Vries,Nyck,De Vries,Nyck de Vries,DEV,21,MALE,1995-02-06,,Uitwellingerga,netherlands,netherlands,
clemente-biondetti,Clemente Biondetti,Clemente,Biondetti,Clemente Biondetti,BIO,,MALE,1898-10-18,1955-02-24,Buddusò,italy,italy,
jonathan-palmer,Jonathan Palmer,Jonathan,Palmer,Jonathan Charles Palmer,PAL,,MALE,1956-11-07,,Lewisham,united-kingdom,united-kingdom,
jackie-oliver,Jackie Oliver,Jackie,Oliver,Keith Jack Oliver,OLI,,MALE,1942-08-14,,Chadwell Heath,united-kingdom,united-kingdom,
john-nicholson,John Nicholson,John,Nicholson,John Nicholson,NIC,,MALE,1941-10-06,,Auckland,new-zealand,new-zealand,
lorenzo-bandini,Lorenzo Bandini,Lorenzo,Bandini,Lorenzo Bandini,BAN,,MALE,1935-12-21,1967-05-10,Barce,libya,italy,
david-piper,David Piper,David,Piper,David Piper,PIP,,MALE,1930-12-02,,Edgware,united-kingdom,united-kingdom,
timmy-mayer,Timmy Mayer,Timmy,Mayer,Timothy Andrew Mayer,MAY,,MALE,1938-02-22,1964-02-28,Dalton,united-states-of-america,united-states-of-america,
rikky-von-opel,Rikky von Opel,Rikky,Von Opel,Frederick von Opel,VON,,MALE,1947-10-14,,New York City,united-states-of-america,liechtenstein,
franco-comotti,Franco Comotti,Franco,Comotti,Gianfranco Comotti,COM,,MALE,1906-07-24,1963-05-10,Brescia,italy,italy,
troy-ruttman,Troy Ruttman,Troy,Ruttman,Troy Ruttman,RUT,,MALE,1930-03-11,1997-05-19,Mooreland,united-states-of-america,united-states-of-america,
larry-crockett,Larry Crockett,Larry,Crockett,Larry Crockett,CRO,,MALE,1926-10-23,1955-03-20,Cambridge City,united-states-of-america,united-states-of-america,
masami-kuwashima,Masami Kuwashima,Masami,Kuwashima,Masami Kuwashima,KUW,,MALE,1950-09-14,,Kumagaya,japan,japan,
consalvo-sanesi,Consalvo Sanesi,Consalvo,Sanesi,Consalvo Sanesi,SAN,,MALE,1911-03-28,1998-07-28,Terranuova Bracciolini,italy,italy,
matteo-bobbi,Matteo Bobbi,Matteo,Bobbi,Matteo Bobbi,BOB,,MALE,1978-07-02,,Milan,italy,italy,
chico-landi,Chico Landi,Chico,Landi,Francisco Sacco Land,LAN,,MALE,1907-07-14,1989-06-07,São Paulo,brazil,brazil,
skip-barber,Skip Barber,Skip,Barber,John Barber III,BAR,,MALE,1936-11-16,,Philadelphia,united-states-of-america,united-states-of-america,
jack-fairman,Jack Fairman,Jack,Fairman,Jack Fairman,FAI,,MALE,1913-03-15,2002-02-07,Horley,united-kingdom,united-kingdom,
chico-serra,Chico Serra,Chico,Serra,Francisco Serra,SER,,MALE,1957-02-03,,São Paulo,brazil,brazil,
chris-craft,Chris Craft,Chris,Craft,Christopher Craft,CRA,,MALE,1939-11-17,2021-02-20,Porthleven,united-kingdom,united-kingdom,
christian-danner,Christian Danner,Christian,Danner,Christian Danner,DAN,,MALE,1958-04-04,,Munich,germany,germany,
conny-andersson,Conny Andersson,Conny,Andersson,Conny Andersson,AND,,MALE,1939-12-28,,Alingsås,sweden,sweden,
bruce-kessler,Bruce Kessler,Bruce,Kessler,Bruce Kessler,KES,,MALE,1936-03-23,2024-04-04,Seattle,united-states-of-america,united-states-of-america,
mike-harris,Mike Harris,Mike,Harris,Mike Harris,HAR,,MALE,1939-05-25,2021-11-08,Mufulira,zambia,south-africa,
gunnar-nilsson,Gunnar Nilsson,Gunnar,Nilsson,Gunnar Nilsson,NIL,,MALE,1948-11-20,1978-10-20,Helsingborg,sweden,sweden,
carel-godin-de-beaufort,Carel Godin de Beaufort,Carel,Godin de Beaufort,Karel Pieter Antoni Jan Hubertus Godin de Beaufort,DEB,,MALE,1934-04-10,1964-08-02,Maarsbergen,netherlands,netherlands,
george-russell,George Russell,George,Russell,George Russell,RUS,63,MALE,1998-02-15,,King's Lynn,united-kingdom,united-kingdom,
teo-fabi,Teo Fabi,Teo,Fabi,Teodorico Fabi,FAB,,MALE,1955-03-09,,Milan,italy,italy,
luigi-piotti,Luigi Piotti,Luigi,Piotti,Luigi Piotti,PIO,,MALE,1913-10-27,1971-04-19,Milan,italy,italy,
francois-cevert,François Cevert,François,Cevert,Albert François Cevert Goldenberg,CEV,,MALE,1944-02-25,1973-10-06,Paris,france,france,
carl-scarborough,Carl Scarborough,Carl,Scarborough,Carl Scarborough,SCA,,MALE,1914-07-03,1953-05-30,Benton,united-states-of-america,united-states-of-america,
andrea-de-cesaris,Andrea de Cesaris,Andrea,De Cesaris,Andrea de Cesaris,DEC,,MALE,1959-05-31,2014-10-05,Rome,italy,italy,
hiroshi-fushida,Hiroshi Fushida,Hiroshi,Fushida,Hiroshi Fushida,FUS,,MALE,1946-03-10,,Kyoto,japan,japan,
perry-mccarthy,Perry McCarthy,Perry,McCarthy,Perry McCarthy,MCC,,MALE,1961-03-03,,Stepney,united-kingdom,united-kingdom,
martin-brundle,Martin Brundle,Martin,Brundle,Martin John Brundle,BRU,,MALE,1959-06-01,,King's Lynn,united-kingdom,united-kingdom,
huub-rothengatter,Huub Rothengatter,Huub,Rothengatter,Hubertus Rothengatter,ROT,,MALE,1954-10-08,,Bussum,netherlands,netherlands,
jj-lehto,JJ Lehto,JJ,Lehto,Jyrki Juhani Järvilehto,JAR,,MALE,1966-01-31,,Espoo,finland,finland,
francois-mazet,François Mazet,François,Mazet,François Mazet,MAZ,,MALE,1943-02-24,,Paris,france,france,
paul-emery,Paul Emery,Paul,Emery,Paul Emery,EME,,MALE,1916-11-12,1993-02-03,Chiswick,united-kingdom,united-kingdom,
mika-hakkinen,Mika Häkkinen,Mika,Häkkinen,Mika Pauli Häkkinen,HAK,,MALE,1968-09-28,,Vantaa,finland,finland,
roy-salvadori,Roy Salvadori,Roy,Salvadori,Roy Francesco Salvadori,SAL,,MALE,1922-05-12,2012-06-03,Dovercourt,united-kingdom,united-kingdom,
wolfgang-von-trips,Wolfgang von Trips,Wolfgang,Von Trips,Wolfgang Alexander Albert Eduard Maximilian Reichsgraf Berghe von Trips,VON,,MALE,1928-05-04,1961-09-10,Cologne,germany,germany,
henri-louveau,Henri Louveau,Henri,Louveau,Henri Louveau,LOU,,MALE,1910-01-25,1991-01-07,Suresnes,france,france,
art-bisch,Art Bisch,Art,Bisch,Art Bisch,BIS,,MALE,1926-11-10,1958-07-06,Mesa,united-states-of-america,united-states-of-america,
vic-elford,Vic Elford,Vic,Elford,Victor Henry Elford,ELF,,MALE,1935-06-10,2022-03-13,London,united-kingdom,united-kingdom,
bob-drake,Bob Drake,Bob,Drake,Bob Drake,DRA,,MALE,1919-12-14,1990-04-18,San Francisco,united-states-of-america,united-states-of-america,
bobby-unser,Bobby Unser,Bobby,Unser,Robert William Unser,UNS,,MALE,1934-02-20,2021-05-02,Colorado Springs,united-states-of-america,united-states-of-america,
tom-jones,Tom Jones,Tom,Jones,Tom Jones,JON,,MALE,1943-04-26,2015-05-29,Dallas,united-states-of-america,united-states-of-america,
jim-rathmann,Jim Rathmann,Jim,Rathmann,Royal Richard Rathmann,RAT,,MALE,1928-07-16,2011-11-23,Alhambra,united-states-of-america,united-states-of-america,
sakon-yamamoto,Sakon Yamamoto,Sakon,Yamamoto,Sakon Yamamoto,YAM,,MALE,1982-07-09,,Toyohashi,japan,japan,
brian-redman,Brian Redman,Brian,Redman,Brian Herman Thomas Redman,RED,,MALE,1937-03-09,,Burnley,united-kingdom,united-kingdom,
alex-zanardi,Alex Zanardi,Alex,Zanardi,Alessandro Zanardi,ZAN,,MALE,1966-10-23,,Bologna,italy,italy,
bas-leinders,Bas Leinders,Bas,Leinders,Bas Leinders,LEI,,MALE,1975-07-16,,Bree,belgium,belgium,
ernst-klodwig,Ernst Klodwig,Ernst,Klodwig,Ernst Klodwig,KLO,,MALE,1903-05-23,1973-04-15,Aschersleben,germany,germany,
karl-wendlinger,Karl Wendlinger,Karl,Wendlinger,Karl Wendlinger,WEN,,MALE,1968-12-20,,Kufstein,austria,austria,
jonathan-williams,Jonathan Williams,Jonathan,Williams,Jonathan Williams,WIL,,MALE,1942-10-26,2014-08-31,Cairo,egypt,united-kingdom,
johnny-mantz,Johnny Mantz,Johnny,Mantz,Johnny Mantz,MAN,,MALE,1918-09-18,1972-10-25,Hebron,united-states-of-america,united-states-of-america,
raymond-sommer,Raymond Sommer,Raymond,Sommer,Raymond Sommer,SOM,,MALE,1906-08-31,1950-09-10,Mouzon,france,france,
paco-godia,Paco Godia,Paco,Godia,Francisco Godia Sales,GOD,,MALE,1921-03-21,1990-11-28,Barcelona,spain,spain,
lance-stroll,Lance Stroll,Lance,Stroll,Lance Stroll,STR,18,MALE,1998-10-29,,Montreal,canada,canada,
jake-dennis,Jake Dennis,Jake,Dennis,Jake Dennis,DEN,,MALE,1995-06-16,,Nuneaton,united-kingdom,united-kingdom,
ryan-briscoe,Ryan Briscoe,Ryan,Briscoe,Ryan Briscoe,BRI,,MALE,1981-09-24,,Sydney,australia,australia,
mike-parkes,Mike Parkes,Mike,Parkes,Michael Johnson Parkes,PAR,,MALE,1931-09-24,1977-08-28,Richmond,united-kingdom,united-kingdom,
pierre-gasly,Pierre Gasly,Pierre,Gasly,Pierre Gasly,GAS,10,MALE,1996-02-07,,Rouen,france,france,
susie-wolff,Susie Wolff,Susie,Wolff,Suzanne Wolff,WOL,,FEMALE,1982-12-06,,Oban,united-kingdom,united-kingdom,
mike-macdowel,Mike MacDowel,Mike,MacDowel,Michael George Hartwell MacDowel,MAC,,MALE,1932-09-13,2016-01-19,Great Yarmouth,united-kingdom,united-kingdom,
jerome-dambrosio,Jérôme d'Ambrosio,Jérôme,D'Ambrosio,Jérôme d'Ambrosio,DAM,,MALE,1985-12-27,,Etterbeek,belgium,belgium,
piero-dusio,Piero Dusio,Piero,Dusio,Piero Dusio,DUS,,MALE,1899-10-13,1975-11-07,Scurzolengo d'Asti,italy,italy,
paul-russo,Paul Russo,Paul,Russo,Paul Russo,RUS,,MALE,1914-04-10,1976-02-13,Kenosha,united-states-of-america,united-states-of-america,
don-beauman,Don Beauman,Don,Beauman,Donald Bentley Beauman,BEA,,MALE,1928-07-26,1955-07-09,Farnborough,united-kingdom,united-kingdom,
luca-badoer,Luca Badoer,Luca,Badoer,Luca Badoer,BAD,,MALE,1971-01-25,,Montebelluna,italy,italy,
john-fitch,John Fitch,John,Fitch,John Cooper Fitch,FIT,,MALE,1917-08-04,2012-10-31,Indianapolis,united-states-of-america,united-states-of-america,
gino-bianco,Gino Bianco,Gino,Bianco,Luigi Emilio Rodolfo Bertetti Bianco,BIA,,MALE,1916-07-22,1984-05-08,Milan,italy,brazil,
patrick-depailler,Patrick Depailler,Patrick,Depailler,Patrick André Eugène Joseph Depailler,DEP,,MALE,1944-08-09,1980-08-01,Clermont-Ferrand,france,france,
sergey-sirotkin,Sergey Sirotkin,Sergey,Sirotkin,Sergey Olegovich Sirotkin,SIR,35,MALE,1995-08-27,,Moscow,russia,russia,
pedro-de-la-rosa,Pedro de la Rosa,Pedro,De la Rosa,Pedro Martínez de la Rosa,DLR,,MALE,1971-02-24,,Barcelona,spain,spain,
bertil-roos,Bertil Roos,Bertil,Roos,Bertil Roos,ROO,,MALE,1943-10-12,2016-03-31,Gothenburg,sweden,sweden,
ricardo-rodriguez,Ricardo Rodríguez,Ricardo,Rodríguez,Ricardo Valentín Rodríguez de la Vega,ROD,,MALE,1942-02-14,1962-11-01,Mexico City,mexico,mexico,
pierluigi-martini,Pierluigi Martini,Pierluigi,Martini,Pierluigi Martini,MAR,,MALE,1961-04-23,,Lugo,italy,italy,
adolf-brudes,Adolf Brudes,Adolf,Brudes,Adolf Brudes von Breslau,BRU,,MALE,1899-10-15,1986-11-05,Groß Kottulin,germany,germany,
pietro-fittipaldi,Pietro Fittipaldi,Pietro,Fittipaldi,Pietro Fittipaldi da Cruz,FIT,,MALE,1996-06-25,,Miami,united-states-of-america,brazil,
mario-de-araujo-cabral,Mário de Araújo Cabral,Mário de Araújo,Cabral,Mário Veloso de Araújo Cabral,DEA,,MALE,1934-01-15,2020-08-17,Cedofeita,portugal,portugal,
ronnie-bucknum,Ronnie Bucknum,Ronnie,Bucknum,Ronnie Bucknum,BUC,,MALE,1936-04-05,1992-04-23,Alhambra,united-states-of-america,united-states-of-america,
tony-rolt,Tony Rolt,Tony,Rolt,Anthony Peter Roylance Rolt,ROL,,MALE,1918-10-16,2008-02-06,Bordon,united-kingdom,united-kingdom,
niki-lauda,Niki Lauda,Niki,Lauda,Andreas Nikolaus Lauda,LAU,,MALE,1949-02-22,2019-05-20,Vienna,austria,austria,
carlos-reutemann,Carlos Reutemann,Carlos,Reutemann,Carlos Alberto Reutemann,REU,,MALE,1942-04-12,2021-07-07,Santa Fe,argentina,argentina,
teddy-pilette,Teddy Pilette,Theodore,Pilette,Theodore Pilette,PIL,,MALE,1942-07-26,,Brussels,belgium,belgium,
nick-heidfeld,Nick Heidfeld,Nick,Heidfeld,Nick Lars Heidfeld,HEI,,MALE,1977-05-10,,Mönchengladbach,germany,germany,
logan-sargeant,Logan Sargeant,Logan,Sargeant,Logan Hunter Sargeant,SAR,2,MALE,2000-12-31,,Fort Lauderdale,united-states-of-america,united-states-of-america,
robert-wickens,Robert Wickens,Robert,Wickens,Robert Tyler Wickens,WIC,,MALE,1989-03-13,,Toronto,canada,canada,
otto-stuppacher,Otto Stuppacher,Otto,Stuppacher,Otto Stuppacher,STU,,MALE,1947-03-03,2001-08-13,Vienna,austria,austria,
franco-rol,Franco Rol,Franco,Rol,Franco Rol,ROL,,MALE,1908-06-05,1977-06-18,Turin,italy,italy,
joe-fry,Joe Fry,Joe,Fry,Joseph Gibson Fry,FRY,,MALE,1915-10-26,1950-07-29,Winterbourne,united-kingdom,united-kingdom,
