id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
piero-taruffi,Piero Taruffi,Piero,Taruffi,Piero Taruffi,TAR,,MALE,1906-10-12,1988-01-12,Albano Laziale,italy,italy,
guy-mairesse,Guy Mairesse,Guy,Mairesse,Guy Mairesse,MAI,,MALE,1910-08-10,1954-04-24,Warmeriville,france,france,
noritake-takahara,Noritake Takahara,Noritake,Takahara,Noritake Takahara,TAK,,MALE,1951-06-06,,Tokyo,japan,japan,
oscar-alfredo-galvez,Oscar Alfredo Gálvez,Oscar Alfredo,Gálvez,Oscar Alfredo Gálvez,GAL,,MALE,1913-08-17,1989-12-16,Buenos Aires,argentina,argentina,
manny-ayulo,Manny Ayulo,Manny,Ayulo,Manuel Leaonedas Ayulo,AYU,,MALE,1921-10-20,1955-05-17,Burbank,united-states-of-america,united-states-of-america,
bobby-ball,Bobby Ball,Bobby,Ball,Robert K. Ball,BAL,,MALE,1925-08-26,1954-02-27,Phoenix,united-states-of-america,united-states-of-america,
bernard-collomb,Bernard Collomb,Bernard,Collomb,Bernard Marie François Alexandre Collomb-Clerc,COL,,MALE,1930-10-07,2011-09-19,Annecy,france,france,
joie-chitwood,Joie Chitwood,Joie,Chitwood,George Rice Chitwood,CHI,,MALE,1912-04-14,1988-01-03,Denison,united-states-of-america,united-states-of-america,
patrick-friesacher,Patrick Friesacher,Patrick,Friesacher,Patrick Friesacher,FRI,,MALE,1980-09-26,,Wolfsberg,austria,austria,
nicolas-kiesa,Nicolas Kiesa,Nicolas,Kiesa,Nicolas Kiesa,KIE,,MALE,1978-03-03,,Copenhagen,denmark,denmark,
alexander-albon,Alexander Albon,Alexander,Albon,Alexander Albon,ALB,23,MALE,1996-03-23,,London,united-kingdom,thailand,
charles-de-tornaco,Charles de Tornaco,Charles,De Tornaco,Charles de Tornaco,DET,,MALE,1927-06-07,1953-09-18,Brussels,belgium,belgium,
mika-salo,Mika Salo,Mika,Salo,Mika Juhani Salo,SAL,,MALE,1966-11-30,,Helsinki,finland,finland,
satoru-nakajima,Satoru Nakajima,Satoru,Nakajima,Satoru Nakajima,NAK,,MALE,1953-02-23,,Okazaki,japan,japan,
tiff-needell,Tiff Needell,Tiff,Needell,Timothy Needell,NEE,,MALE,1951-10-29,,Havant,united-kingdom,united-kingdom,
jean-claude-rudaz,Jean-Claude Rudaz,Jean-Claude,Rudaz,Jean-Claude Rudaz,RUD,,MALE,1942-07-23,,Sion,switzerland,switzerland,
emilio-zapico,Emilio Zapico,Emilio,Zapico,Emilio Rodríguez Zapico,ZAP,,MALE,1944-05-27,1996-08-06,León,spain,spain,
artem-markelov,Artem Markelov,Artem,Markelov,Artem Valeryevich Markelov,MAR,,MALE,1994-09-10,,Moscow,russia,russia,
brian-hart,Brian Hart,Brian,Hart,Brian Hart,HAR,,MALE,1936-09-07,2014-01-05,Enfield,united-kingdom,united-kingdom,
torsten-palm,Torsten Palm,Torsten,Palm,Torsten Palm,PAL,,MALE,1947-07-23,,Kristinehamn,sweden,sweden,
walt-hansgen,Walt Hansgen,Walt,Hansgen,Walter Edwin Hansgen,HAN,,MALE,1919-10-28,1966-04-07,Westfield,united-states-of-america,united-states-of-america,
jim-hall,Jim Hall,Jim,Hall,Jim Hall,HAL,,MALE,1935-07-23,,Abilene,united-states-of-america,united-states-of-america,
richie-ginther,Richie Ginther,Richie,Ginther,Paul Richard Ginther,GIN,,MALE,1930-08-05,1989-09-20,Hollywood,united-states-of-america,united-states-of-america,
tony-shelly,Tony Shelly,Tony,Shelly,Anthony Lionel Shelly,SHE,,MALE,1937-02-02,1998-10-04,Wellington,new-zealand,new-zealand,
