year,entrant,constructor,driver,tookPart,TestDriver
1957,bob-gerard,cooper,bob-gerard,true,false
1957,bruce-halford,maserati,bruce-halford,true,false
1957,cars-inc,kurtis-kraft,bob-christie,true,false
1957,chapman-s-root,kurtis-kraft,johnnie-parsons,true,false
1957,chapman-s-root,kurtis-kraft,marshall-teague,true,false
1957,chapman-s-root,kurtis-kraft,pat-oconnor,true,false
1957,connaught-engineering,connaught,ivor-bueb,true,false
1957,connaught-engineering,connaught,stuart-lewis-evans,true,false
1957,cooper-car-company,cooper,jack-brabham,true,false
1957,cooper-car-company,cooper,les-leston,true,false
1957,cooper-car-company,cooper,mike-macdowel,true,false
1957,cooper-car-company,cooper,roy-salvadori,true,false
1957,dick-gibson,cooper,dick-gibson,true,false
1957,dr-ing-f-porsche-kg,porsche,edgar-barth,true,false
1957,dr-ing-f-porsche-kg,porsche,umberto-maglioli,true,false
1957,ecurie-maarsbergen,porsche,carel-godin-de-beaufort,true,false
1957,ernest-l-ruiz,kurtis-kraft,elmer-george,true,false
1957,francesco-godia-sales,maserati,paco-godia,true,false
1957,fred-richard-sommer,kurtis-kraft,jimmy-reece,true,false
1957,fred-sclavi,kurtis-kraft,eddie-russo,true,false
1957,george-bignotti,kurtis-kraft,fred-agabashian,true,false
1957,george-bignotti,kurtis-kraft,johnny-boyd,true,false
1957,george-salih,epperly,sam-hanks,true,false
1957,george-walther-jr,kurtis-kraft,mike-magill,true,false
1957,gilby-engineering,maserati,ivor-bueb,true,false
1957,ha-chapman,kurtis-kraft,eddie-johnson,true,false
1957,harry-dunn,dunn,al-herman,true,false
1957,hh-gould,maserati,horace-gould,true,false
1957,hh-johnson,kurtis-kraft,jimmy-daywalt,true,false
1957,jb-naylor,cooper,brian-naylor,true,false
1957,jo-bonnier,maserati,jo-bonnier,true,false
1957,john-zink,watson,troy-ruttman,true,false
1957,joseph-massaglia-jr,lesovsky,gene-hartley,true,false
1957,js-donaldson,kurtis-kraft,bill-cheesbourg,true,false
1957,kalamazoo-sports-inc,kurtis-kraft,andy-linden,true,false
1957,kalamazoo-sports-inc,kurtis-kraft,ed-elisian,true,false
1957,lindsey-hopkins,epperly,jim-rathmann,true,false
1957,luigi-piotti,maserati,luigi-piotti,true,false
1957,lysle-greenman,kuzma,johnnie-tolan,true,false
1957,novi-racing-corp,kurtis-kraft,paul-russo,true,false
1957,novi-racing-corp,kurtis-kraft,tony-bettenhausen,true,false
1957,officine-alfieri-maserati,maserati,carlos-menditeguy,true,false
1957,officine-alfieri-maserati,maserati,jean-behra,true,false
1957,officine-alfieri-maserati,maserati,juan-manuel-fangio,true,false
1957,officine-alfieri-maserati,maserati,stirling-moss,true,false
1957,officine-alfieri-maserati,maserati,giorgio-scarlatti,true,false
1957,officine-alfieri-maserati,maserati,hans-herrmann,true,false
1957,officine-alfieri-maserati,maserati,harry-schell,true,false
1957,ottorino-volonterio,maserati,andre-simon,true,false
1957,ottorino-volonterio,maserati,ottorino-volonterio,true,false
1957,owen-racing-organisation,brm,ron-flockhart,true,false
1957,owen-racing-organisation,brm,roy-salvadori,true,false
1957,owen-racing-organisation,brm,herbert-mackay-fraser,true,false
1957,owen-racing-organisation,brm,jack-fairman,true,false
1957,owen-racing-organisation,brm,les-leston,true,false
1957,pat-clancy,kurtis-kraft,al-keller,true,false
1957,pat-clancy,kurtis-kraft,jack-turner,true,false
1957,pete-salemi,kuzma,chuck-weyant,true,false
1957,peter-schmidt,kuzma,eddie-sachs,true,false
1957,racing-associates,kuzma,johnny-thomson,true,false
1957,ridgeway-management,cooper,paul-england,true,false
1957,ridgeway-management,cooper,tony-marsh,true,false
1957,roger-wolcott,lesovsky,rodger-ward,true,false
1957,roy-mckay,kurtis-kraft,don-edmunds,true,false
1957,rrc-walker-racing-team,cooper,jack-brabham,true,false
1957,scuderia-centro-sud,ferrari,alejandro-de-tomaso,true,false
1957,scuderia-centro-sud,maserati,harry-schell,true,false
1957,scuderia-centro-sud,maserati,jo-bonnier,true,false
1957,scuderia-centro-sud,maserati,andre-simon,true,false
1957,scuderia-centro-sud,maserati,masten-gregory,true,false
1957,scuderia-centro-sud,maserati,hans-herrmann,true,false
1957,scuderia-ferrari,ferrari,alfonso-de-portago,true,false
1957,scuderia-ferrari,ferrari,cesare-perdisa,true,false
1957,scuderia-ferrari,ferrari,eugenio-castellotti,true,false
1957,scuderia-ferrari,ferrari,jose-froilan-gonzalez,true,false
1957,scuderia-ferrari,ferrari,luigi-musso,true,false
1957,scuderia-ferrari,ferrari,mike-hawthorn,true,false
1957,scuderia-ferrari,ferrari,peter-collins,true,false
1957,scuderia-ferrari,ferrari,wolfgang-von-trips,true,false
1957,scuderia-ferrari,ferrari,maurice-trintignant,true,false
1957,vandervell-products,vanwall,stirling-moss,true,false
1957,vandervell-products,vanwall,tony-brooks,true,false
1957,vandervell-products,vanwall,roy-salvadori,true,false
1957,vandervell-products,vanwall,stuart-lewis-evans,true,false
1958,andre-guelfi,cooper,andre-guelfi,true,false
1958,andre-testut,maserati,andre-testut,true,false
1958,andre-testut,maserati,louis-chiron,true,false
1958,bernie-c-ecclestone,connaught,bernie-ecclestone,true,false
1958,bernie-c-ecclestone,connaught,bruce-kessler,true,false
1958,bernie-c-ecclestone,connaught,paul-emery,true,false
1958,bernie-c-ecclestone,connaught,ivor-bueb,true,false
1958,bernie-c-ecclestone,connaught,jack-fairman,true,false
1958,bob-estes,phillips,don-freeland,true,false
1958,bob-sorenson,kuzma,dempsey-wilson,true,false
1958,british-racing-partnership,cooper,tom-bridger,true,false
1958,cars-inc,epperly,tony-bettenhausen,true,false
1958,chapman-s-root,kurtis-kraft,pat-oconnor,true,false
1958,cooper-car-company,cooper,jack-brabham,true,false
1958,cooper-car-company,cooper,roy-salvadori,true,false
1958,cooper-car-company,cooper,ian-burgess,true,false
1958,cooper-car-company,cooper,bruce-mclaren,true,false
1958,cooper-car-company,cooper,jack-fairman,true,false
1958,dean-van-lines,kuzma,anthony-joseph-foyt,true,false
1958,dick-gibson,cooper,dick-gibson,true,false
1958,dr-ing-f-porsche-kg,porsche,edgar-barth,true,false
1958,ecurie-demi-litre,lotus,ivor-bueb,true,false
1958,ecurie-eperon-dor,cooper,christian-goethals,true,false
1958,ecurie-maarsbergen,porsche,carel-godin-de-beaufort,true,false
1958,ellen-mckinney-zink,watson,ed-elisian,true,false
1958,federal-auto-associates,kurtis-kraft,bob-christie,true,false
1958,francesco-godia-sales,maserati,paco-godia,true,false
1958,fred-gerhardt,kurtis-kraft,johnnie-parsons,true,false
1958,george-salih,epperly,jimmy-bryan,true,false
1958,george-walther-jr,kurtis-kraft,mike-magill,true,false
1958,giorgio-scarlatti,maserati,giorgio-scarlatti,true,false
1958,giorgio-scarlatti,maserati,jo-bonnier,true,false
1958,ha-chapman,kurtis-kraft,billy-garrett,true,false
1958,harry-dunn,dunn,chuck-weyant,true,false
1958,henry-yunik,kurtis-kraft,paul-goldsmith,true,false
1958,hh-gould,maserati,horace-gould,true,false
1958,hh-gould,maserati,masten-gregory,true,false
1958,hh-johnson,kuzma,art-bisch,true,false
1958,high-efficiency-motors,cooper,ian-burgess,true,false
1958,jb-naylor,cooper,brian-naylor,true,false
1958,jim-robbins,kurtis-kraft,len-sutton,true,false
1958,jo-bonnier,maserati,harry-schell,true,false
