id,driverId,relationId,type
17,peter-whitehead,graham-whitehead,HALF_SIBLING
18,jo-schlesser,jean-louis-schlesser,SIBLINGS_CHILD
19,jos-verstappen,max-verstappen,CHILD
20,nelson-piquet-jr,nelson-piquet,PARENT
21,jean-louis-schlesser,jo-schlesser,PARENTS_SIBLING
22,corrado-fabi,teo-fabi,SIBLING
23,ernesto-brambilla,vittorio-brambilla,SIBLING
24,nelson-piquet,nelson-piquet-jr,CHILD
25,vittorio-brambilla,ernesto-brambilla,SIBLING
26,jody-scheckter,ian-scheckter,SIBLING
27,lucien-bianchi,jules-bianchi,SIBLINGS_GRANDCHILD
28,michael-andretti,mario-andretti,PARENT
29,andre-pilette,teddy-pilette,CHILD
30,jacques-villeneuve-sr,gilles-villeneuve,SIBLING
31,jacques-villeneuve-sr,jacques-villeneuve,SIBLINGS_CHILD
32,joachim-winkelhock,manfred-winkelhock,SIBLING
33,joachim-winkelhock,markus-winkelhock,SIBLINGS_CHILD
