driverId,relationId,type
ralf-schumacher,mick-schumacher,SIBLINGS_CHILD
peter-whitehead,graham-whitehead,HALF_SIBLING
jo-schlesser,jean-louis-schlesser,SIBLINGS_CHILD
jos-verstappen,max-verstappen,CHILD
nelson-piquet-jr,nelson-piquet,PARENT
jean-louis-schlesser,jo-schlesser,PARENTS_SIBLING
corrado-fabi,teo-fabi,SIBLING
ernesto-brambilla,vittorio-brambilla,SIBLING
nelson-piquet,nelson-piquet-jr,CHILD
vittorio-brambilla,ernesto-brambilla,SIBLING
jody-scheckter,ian-scheckter,SIBLING
lucien-bianchi,jules-bianchi,SIBLINGS_GRANDCHILD
