id,driverId,relationId,type
34,jackie-stewart,jimmy-stewart,SIBLING
35,hans-joachim-stuck,hans-stuck,PARENT
36,roy-nissany,chanoch-nissany,PARENT
37,ayrton-senna,bruno-senna,SIBLINGS_CHILD
38,emerson-fittipaldi,wilson-fittipaldi,SIBLING
39,emerson-fittipaldi,christian-fittipaldi,SIBLINGS_CHILD
40,emerson-fittipaldi,max-papis,CHILD_IN_LAW
41,emerson-fittipaldi,pietro-fittipaldi,GRANDCHILD
42,keke-rosberg,nico-rosberg,CHILD
43,jan-magnussen,kevin-magnussen,CHILD
44,chanoch-nissany,roy-nissany,CHILD
45,kevin-magnussen,jan-magnussen,PARENT
46,wilson-fittipaldi,christian-fittipaldi,CHILD
47,wilson-fittipaldi,emerson-fittipaldi,SIBLING
48,wilson-fittipaldi,pietro-fittipaldi,SIBLINGS_GRANDCHILD
49,wilson-fittipaldi,max-papis,SIBLINGS_CHILD_IN_LAW
50,markus-winkelhock,manfred-winkelhock,PARENT
