id,driverId,relationId,type
51,markus-winkelhock,joachim-winkelhock,PARENTS_SIBLING
52,jolyon-palmer,jonathan-palmer,PARENT
53,jonathan-palmer,jolyon-palmer,CHILD
54,teo-fabi,corrado-fabi,SIBLING
55,jim-rathmann,dick-rathmann,SIBLING
56,paul-russo,eddie-russo,SIBLINGS_CHILD
57,ricardo-rodriguez,pedro-rodriguez,SIBLING
58,pietro-fittipaldi,emerson-fittipaldi,GRANDPARENT
59,pietro-fittipaldi,christian-fittipaldi,PARENTS_SIBLINGS_CHILD
60,pietro-fittipaldi,max-papis,PARENTS_SIBLING
61,pietro-fittipaldi,wilson-fittipaldi,GRANDPARENTS_SIBLING
62,teddy-pilette,andre-pilette,PARENT
63,kazuki-nakajima,satoru-nakajima,PARENT
64,graham-hill,damon-hill,CHILD
65,manfred-winkelhock,markus-winkelhock,CHILD
66,manfred-winkelhock,joachim-winkelhock,SIBLING
67,bruno-senna,ayrton-senna,PARENTS_SIBLING
