id,driverId,relationId,type
68,satoru-nakajima,kazuki-nakajima,CHILD
69,mick-schumacher,michael-schumacher,PARENT
70,mick-schumacher,ralf-schumacher,PARENTS_SIBLING
71,jack-brabham,gary-brabham,CHILD
72,jack-brabham,david-brabham,CHILD
73,gilles-villeneuve,jacques-villeneuve,CHILD
74,gilles-villeneuve,jacques-villeneuve-sr,SIBLING
75,gary-brabham,jack-brabham,PARENT
76,graham-whitehead,peter-whitehead,HALF_SIBLING
77,tim-parnell,reg-parnell,PARENT
78,hans-stuck,hans-joachim-stuck,CHILD
79,david-brabham,jack-brabham,PARENT
80,david-brabham,mike-thackwell,SIBLING_IN_LAW
81,reg-parnell,tim-parnell,CHILD
82,mike-thackwell,david-brabham,SIBLING_IN_LAW
83,michael-schumacher,mick-schumacher,CHILD
84,michael-schumacher,ralf-schumacher,SIBLING
85,damon-hill,graham-hill,PARENT
