id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
ferrari-tipo-168-30-v12,ferrari,Tipo 168,Ferrari Tipo 168 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
renault-re18-16-v6-t-h,renault,R.E.18,Renault R.E.18 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
maserati-tipo-6-15-l4,maserati,Tipo 6,Maserati Tipo 6 1.5 L4,1.5,L4,NATURALLY_ASPIRATED
petronas-spe-03a-30-v10,petronas,SPE-03A,Petronas SPE-03A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
tag-heuer-f1-2016-16-v6-t-h,tag-heuer,F1-2016,TAG Heuer F1-2016 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
yamaha-ox10a-35-v10,yamaha,OX10A,Yamaha OX10A 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
yamaha-ox11c-d-30-v10,yamaha,OX11C/D,Yamaha OX11C/D 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
renault-ef4-15-v6-t,renault,EF4,Renault EF4 1.5 V6 T,1.5,V6,TURBOCHARGED
mercedes-pu106c-16-v6-t-h,mercedes,PU106C,Mercedes PU106C Hybrid 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ford-vjm1-zetec-r-30-v10,ford,VJM1 Zetec-R,Ford VJM1 Zetec-R 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra166e-15-v6-t,honda,RA166E,Honda RA166E 1.5 V6 T,1.5,V6,TURBOCHARGED
bugatti-25-l8,bugatti,Bugatti,Bugatti 2.5 L8,2.5,L8,NATURALLY_ASPIRATED
renault-rs27-24-v8,renault,RS27,Renault RS27 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
mercedes-pu106b-16-v6-t-h,mercedes,PU106B,Mercedes PU106B Hybrid 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
renault-rs23-30-v10,renault,RS23,Renault RS23 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra004e-30-v10,honda,RA004E,Honda RA004E 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
bristol-bs1-20-l6,bristol,BS1,Bristol BS1 2.0 L6,2.0,L6,NATURALLY_ASPIRATED
