id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
renault-ef15-15-v6-t,renault,EF15,Renault EF15 1.5 V6 T,1.5,V6,TURBOCHARGED
cosworth-ca2012-24-v8,cosworth,CA2012,Cosworth CA2012 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
asiatech-at02-30-v10,asiatech,AT02,Asiatech AT02 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-050-30-v10,ferrari,40,Ferrari 050 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mercedes-fo-110q-30-v10,mercedes,FO 110Q,Mercedes FO 110Q 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra163e-15-v6-t,honda,RA163E,Honda RA163E 1.5 V6 T,1.5,V6,TURBOCHARGED
brm-p101-30-v12,brm,P101,BRM P101 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
petronas-04a-30-v10,petronas,04A,Petronas 04A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ford-hba7-35-v8,ford,HBA7,Ford HBA7 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
honda-ra807e-24-v8,honda,RA807E,Honda RA807E 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
yamaha-ox10c-30-v10,yamaha,OX10C,Yamaha OX10C 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-046-30-v10,ferrari,38,Ferrari 046 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
fondmetal-rv10-30-v10,fondmetal,RV10,Fondmetal RV10 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra620h-16-v6-t-h,honda,RA620H,Honda RA620H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
peugeot-a16-30-v10,peugeot,A16,Peugeot A16 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
offenhauser-17-l4,offenhauser,Offenhauser,Offenhauser 1.7 L4,1.7,L4,NATURALLY_ASPIRATED
renault-e-tech-re24-16-v6-t-h,renault,E-Tech RE24,Renault E-Tech RE24 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
gordini-15c-15-l4-s,gordini,15C,Gordini 15C 1.5 L4 S,1.5,L4,SUPERCHARGED
mercedes-fo-110f-30-v10,mercedes,FO 110F,Mercedes FO 110F 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-059-3-16-v6-t-h,ferrari,059/3,Ferrari 059/3 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
