id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
repco-740-30-v8,repco,740,Repco 740 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
mercedes-benz-2175b-35-v10,mercedes,2175B,Mercedes-Benz 2175B 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
porsche-547-3-15-f4,porsche,547/3,Porsche 547/3 1.5 F4,1.5,F4,NATURALLY_ASPIRATED
motori-moderni-tipo-615-90-15-v6-t,motori-moderni,Tipo 615-90,Motori Moderni Tipo 615-90 1.5 V6 T,1.5,V6,TURBOCHARGED
ford-edd-30-v8,ford,EDD,Ford EDD 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
yamaha-ox88-35-v8,yamaha,OX88,Yamaha OX88 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
cosworth-tj2006-30-v10,cosworth,TJ2006,Cosworth TJ2006 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mercedes-fo-110k-30-v10,mercedes,FO 110K,Mercedes FO 110K 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
renault-e-tech-re22-16-v6-t-h,renault,E-Tech RE22,Renault E-Tech RE22 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
renault-rs6-35-v10,renault,RS6,Renault RS6 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
ferrari-178-15-v6,ferrari,178,Ferrari 178 1.5 V6,1.5,V6,NATURALLY_ASPIRATED
mercedes-fo-110g-30-v10,mercedes,FO 110G,Mercedes FO 110G 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mercedes-fo-110-3-30-v10,mercedes,FO 110/3,Mercedes FO 110/3 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-038-35-v12,ferrari,038,Ferrari 038 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
toyota-rvx-03-30-v10,toyota,RVX-03,Toyota RVX-03 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ford-cosworth-dfv-30-v8,ford,Cosworth DFV,Ford Cosworth DFV 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
kuchen-20-v8,kuchen,Küchen,Küchen 2.0 V8,2.0,V8,NATURALLY_ASPIRATED
ferrari-242c-30-v12,ferrari,242C,Ferrari 242C 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
ferrari-053-30-v10,ferrari,43,Ferrari 053 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ford-eca-zetec-r-30-v8,ford,ECA Zetec-R,Ford ECA Zetec-R 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
bmw-p84-30-v10,bmw,P84,BMW P84 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
matra-ms73-30-v12,matra,MS73,Matra MS73 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
judd-gv-35-v10,judd,GV,Judd GV 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
playlife-gc37-01-30-v10,playlife,GC37-01,Playlife GC37-01 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mercedes-fo-108w-24-v8,mercedes,FO 108W,Mercedes FO 108W 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
cosworth-cr-3l-30-v10,cosworth,CR-3L,Cosworth CR-3L 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
