id,name,fullName,shortName,abbreviation,countryId
monaco,Monaco,Monaco Grand Prix,Monaco GP,MCO,monaco
japan,Japan,Japanese Grand Prix,Japanese GP,JPN,japan
spain,Spain,Spanish Grand Prix,Spanish GP,ESP,spain
bahrain,Bahrain,Bahrain Grand Prix,Bahrain GP,BHR,bahrain
malaysia,Malaysia,Malaysian Grand Prix,Malaysian GP,MYS,malaysia
mexico,Mexico,Mexican Grand Prix,Mexican GP,MEX,mexico
san-marino,San Marino,San Marino Grand Prix,San Marino GP,SMR,san-marino
pescara,Pescara,Pescara Grand Prix,Pescara GP,PES,italy
netherlands,Netherlands,Dutch Grand Prix,Dutch GP,NLD,netherlands
canada,Canada,Canadian Grand Prix,Canadian GP,CAN,canada
